Siedlungs-Code,Flächen-Code,Typ,Bauart,Energiebedarf,Versorgungsart,Dichte,Erschließung (Segm.),Erschließung (Sied.),GWP,GWP ohne Strom,GWP für Bauwerk (KG 300),310 Erdaushub Keller,322 Bodenplatte,325 Bodenbelag,331 Außenwand,334 Außentüren,339 Kellerwände,334 Fenster,341 Innenwände tragend (inkl. Aufzugschacht),342 Innenwände,344 Innentüren,351 Decken,351 Treppe,361 Dach,GWP für Haustechnik (KG 400),"410 Abwasser, Trinkwasser",420 Wärmeversorgung,430 Lüftung,440 Strom,460 Aufzug,GWP für gesamte Geb.- Erschliessung (KG 500),500 Quartiersstrom,500 Quartierswasserleitung,510 Erdaushub Leitungen,510 Erdaushub Garagen,521 Gehweg Radweg,522 Straße,524 Stellplätze,524 Hochgaragen,524 Tiefgaragen,Summe Betrieb & Nutzstrom,GWP für Wärmeversorgung (B6),GWP für Nutzstrom,Nr.,Gebäudetyp,Straßenform/ Erschließungstyp,Gesamtfläche,Straßenflächen (öffentlich),Rad- und Gehwegflächen (öffentlich),Oberirdische Stellplatzflächen (öffentlich),Grundflächen Wohngebäude (brutto),Flächen Tiefgaragen (brutto) (2),Flächen Tiefgaragen (netto) (3),Quartiers-GRZ,Quartiers-GFZ,Obergeschosse,BGF (m²) inkl. oberirdische Garagen,BGF (m²) Wohnen (inkl. Keller),Nettowohnfläche NUF (m2),Nettoraumfläche NRF (m2),A/V-Verhältnis Wohngebäude,Anzahl Gebäude/ Kachel,Nettowohnfläche pro Person (8) (statistisch),Bewohner Kachel insg. (rechnerisch),WE Kachel insg. (rechnerisch),GWP / m² NRF,Tiefgarage,Verkehrsfläche gesamt m²,Person_GWP,Person_GWP (GWP ohne Strom),Person_GWP (KG 300),Person_GWP (310 Erdaushub Keller),Person_GWP (322 Bodenplatte),Person_GWP (325 Bodenbelag),Person_GWP (331 Außenwand),Person_GWP (334 Außentüren),Person_GWP (339 Kellerwände),Person_GWP (334 Fenster),Person_GWP (341 Innenwände tragend (inkl. Aufzugschacht)),Person_GWP (342 Innenwände),Person_GWP (344 Innentüren),Person_GWP (351 Decken),Person_GWP (351 Treppe),Person_GWP (361 Dach),Person_GWP (KG 400),"Person_GWP (410 Abwasser, Trinkwasser)",Person_GWP (420 Wärmeversorgung),Person_GWP (430 Lüftung),Person_GWP (440 Strom),Person_GWP (460 Aufzug),Person_GWP (KG 500),Person_GWP (500 Quartiersstrom),Person_GWP (500 Quartierswasserleitung),Person_GWP (510 Erdaushub Leitungen),Person_GWP (510 Erdaushub Garagen),Person_GWP (521 Gehweg Radweg),Person_GWP (522 Straße),Person_GWP (524 Stellplätze),Person_GWP (524 Hochgaragen),Person_GWP (524 Tiefgaragen),Person_GWP (Summe Betrieb & Nutzstrom),Person_GWP (B6),Person_GWP (GWP für Nutzstrom)
EH15NGGI,EH15NGGI,EFH,Holz,15 kWh,Nahwärme kalt,gering,Kreuzung,Gitter,169119,169119.1549190092,58881.9750857143,1132.5384000000001,12955.02,5462.376000000001,7694.738399999999,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,12538.68,66210.1,855.0,62105.472293602565,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,18887,18886.96718769231,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,18.03129850296498,False,16650.0,1226.13,1226.13,426.9,8.21,93.92,39.6,55.79,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,90.91,480.03,6.2,450.27,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,136.93,136.93,0.0
EH15LGGI,EH15LGGI,EFH,Holz,15 kWh,LW Wärmepumpe,gering,Kreuzung,Gitter,117035,117034.63872988134,58881.9750857143,1132.5384000000001,12955.02,5462.376000000001,7694.738399999999,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,12538.68,8862.0,855.0,4757.37508495392,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,24151,24150.548207213116,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,12.478104606990076,False,16650.0,848.51,848.51,426.9,8.21,93.92,39.6,55.79,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,90.91,64.25,6.2,34.49,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,175.1,175.09,0.0
EH15EGGI,EH15EGGI,EFH,Holz,15 kWh,Erdgas,gering,Kreuzung,Gitter,139370,139370.3763910567,58881.9750857143,1132.5384000000001,12955.02,5462.376000000001,7694.738399999999,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,12538.68,12057.4,855.0,7952.7440573424,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,43291,43290.916895999995,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,14.859516418357288,False,16650.0,1010.44,1010.45,426.9,8.21,93.92,39.6,55.79,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,90.91,87.42,6.2,57.66,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,313.86,313.86,0.0
EH30NGGI,EH30NGGI,EFH,Holz,30 kWh,Nahwärme kalt,gering,Kreuzung,Gitter,177906,177906.08961230682,56927.23028571429,1132.5384000000001,11958.48,5462.376000000001,6980.793599999999,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,12294.42,66670.7,855.0,62566.10563305408,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,29168,29168.01334153846,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,18.96815182662773,False,16650.0,1289.83,1289.83,412.73,8.21,86.7,39.6,50.61,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,89.14,483.37,6.2,453.61,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,211.47,211.47,0.0
EH30LGGI,EH30LGGI,EFH,Holz,30 kWh,LW Wärmepumpe,gering,Kreuzung,Gitter,128443,128443.35208850945,56927.23028571429,1132.5384000000001,11958.48,5462.376000000001,6980.793599999999,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,12294.42,9079.2,855.0,4974.5775058771205,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,37297,37296.80394491803,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,13.694489091661275,False,16650.0,931.22,931.23,412.73,8.21,86.7,39.6,50.61,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,89.14,65.82,6.2,36.07,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,270.41,270.41,0.0
EH30EGGI,EH30EGGI,EFH,Holz,30 kWh,Erdgas,gering,Kreuzung,Gitter,160981,160980.8715910567,56927.23028571429,1132.5384000000001,11958.48,5462.376000000001,6980.793599999999,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,12294.42,12057.4,855.0,7952.7440573424,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,66856,66856.156896,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,17.16360367526619,False,16650.0,1167.13,1167.13,412.73,8.21,86.7,39.6,50.61,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,89.14,87.42,6.2,57.66,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,484.71,484.71,0.0
EH70NGGI,EH70NGGI,EFH,Holz,70 kWh,Nahwärme kalt,gering,Kreuzung,Gitter,204829,204829.17718842192,54728.2254857143,1132.5384000000001,10961.94,5462.376000000001,6266.8488,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,11805.9,68376.7,855.0,64272.07493224609,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,56584,56584.136418461545,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,21.838661846257878,False,16650.0,1485.03,1485.03,396.78,8.21,79.47,39.6,45.44,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,85.59,495.74,6.2,465.98,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,410.24,410.24,0.0
EH70LGGI,EH70LGGI,EFH,Holz,70 kWh,LW Wärmepumpe,gering,Kreuzung,Gitter,162356,162355.8703263437,54728.2254857143,1132.5384000000001,10961.94,5462.376000000001,6266.8488,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,11805.9,10134.0,855.0,6029.41857649824,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,72353,72353.48591213115,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,17.310204529847287,False,16650.0,1177.09,1177.09,396.78,8.21,79.47,39.6,45.44,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,85.59,73.47,6.2,43.71,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,524.57,524.57,0.0
EH70EGGI,EH70EGGI,EFH,Holz,70 kWh,Erdgas,gering,Kreuzung,Gitter,221623,221622.50679105672,54728.2254857143,1132.5384000000001,10961.94,5462.376000000001,6266.8488,1008.0,4590.3,4463.494285714287,1886.4,2154.48,100.8,4859.7480000000005,35.4,11805.9,12057.4,855.0,7952.7440573424,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,129697,129696.79689600001,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,23.629148199319417,False,16650.0,1606.79,1606.78,396.78,8.21,79.47,39.6,45.44,7.31,33.28,32.36,13.68,15.62,0.73,35.23,0.26,85.59,87.42,6.2,57.66,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,940.31,940.31,0.0
EM15NGGI,EM15NGGI,EFH,Massiv,15 kWh,Nahwärme kalt,gering,Kreuzung,Gitter,179932,179932.10051900917,69694.9206857143,1132.5384000000001,12955.02,5462.376000000001,16262.075999999997,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,12538.68,66210.1,855.0,62105.472293602565,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,18887,18886.96718769231,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,19.1841628837224,False,16650.0,1304.52,1304.52,505.29,8.21,93.92,39.6,117.9,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,90.91,480.03,6.2,450.27,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,136.93,136.93,0.0
